timestamp,cpu_percent,rss_kb
2026-05-14T22:36:41+01:00,77.8,6208884
2026-05-14T22:36:42+01:00,77.8,6208884
2026-05-14T22:36:43+01:00,77.9,6208884
2026-05-14T22:36:44+01:00,77.9,6208884
2026-05-14T22:36:45+01:00,77.9,6208884
2026-05-14T22:36:46+01:00,78.0,6208884
2026-05-14T22:36:48+01:00,78.0,6208884
2026-05-14T22:36:49+01:00,77.9,6208884
2026-05-14T22:36:50+01:00,78.0,6208884
2026-05-14T22:36:51+01:00,78.0,6208884
2026-05-14T22:36:52+01:00,78.1,6208884
2026-05-14T22:36:53+01:00,78.1,6208884
2026-05-14T22:36:54+01:00,78.2,6208884
2026-05-14T22:36:55+01:00,78.2,6208884
2026-05-14T22:36:56+01:00,78.2,6208884
2026-05-14T22:36:57+01:00,78.3,6208884
2026-05-14T22:36:58+01:00,78.3,6208884
2026-05-14T22:36:59+01:00,78.4,6208884
2026-05-14T22:37:00+01:00,78.4,6208884
2026-05-14T22:37:01+01:00,78.4,6208884
2026-05-14T22:37:02+01:00,78.5,6209012
2026-05-14T22:37:03+01:00,78.5,6209012
2026-05-14T22:37:04+01:00,78.6,6209012
2026-05-14T22:37:05+01:00,78.6,6209012
2026-05-14T22:37:06+01:00,78.6,6209012
2026-05-14T22:37:08+01:00,78.7,6209012
2026-05-14T22:37:09+01:00,78.6,6209012
2026-05-14T22:37:10+01:00,78.6,6209012
2026-05-14T22:37:11+01:00,78.7,6209012
2026-05-14T22:37:12+01:00,78.7,6209012
2026-05-14T22:37:13+01:00,78.8,6209012
2026-05-14T22:37:14+01:00,78.8,6209012
2026-05-14T22:37:15+01:00,78.8,6209012
2026-05-14T22:37:16+01:00,78.9,6209012
2026-05-14T22:37:17+01:00,78.9,6209012
2026-05-14T22:37:18+01:00,78.9,6209012
2026-05-14T22:37:19+01:00,79.0,6209012
